"年度季別","全國","新北市","台北市","桃園市","台中市","台南市","高雄市"
"115Q1",41.46,55.30,64.41,36.89,49.67,38.33,40.90
"114Q4",40.75,54.52,63.92,36.24,48.55,37.63,40.03
"114Q3",42.42,56.77,65.47,37.13,50.05,39.65,41.01
"114Q2",43.12,56.85,67.23,37.73,51.90,40.90,41.93
"114Q1",44.53,58.68,68.94,38.98,53.37,42.23,43.13
"113Q4",46.62,61.01,71.21,39.97,56.26,45.06,45.73
"113Q3",46.80,60.69,71.82,40.62,56.17,44.79,45.80
"113Q2",46.02,59.27,70.69,39.48,54.83,44.48,44.92
"113Q1",44.30,57.18,68.82,38.11,52.76,41.76,42.43
"112Q4",42.66,56.01,67.22,35.41,50.24,40.47,39.86
"112Q3",42.25,55.35,67.13,34.68,50.32,40.67,39.74
"112Q2",42.09,55.41,66.54,34.61,49.53,40.94,39.58
"112Q1",41.19,54.13,64.50,33.88,48.08,39.96,38.83
"111Q4",40.25,53.10,66.06,32.81,46.53,39.22,38.76
"111Q3",40.55,53.66,67.07,33.04,46.96,40.16,37.49
"111Q2",3962.11,5241.11,6612.22,3200.94,4553.97,3825.95,3817.11
"111Q1",3834.72,5144.72,6491.48,3149.71,4508.15,3683.96,3559.10
"110Q4",3782.60,5002.11,6508.58,3175.63,4349.87,3598.74,3406.87
"110Q3",36.90,48.46,63.35,31.08,41.10,33.11,31.22
"110Q2",36.27,48.48,63.11,30.29,39.46,31.64,30.36
"110Q1",36.54,49.01,62.17,29.95,40.63,31.12,30.40
"109Q4",36.81,48.36,63.12,30.59,40.08,30.94,31.12
"109Q3",36.76,48.63,61.14,31.72,39.91,30.15,30.58
"109Q2",34.64,46.04,57.57,29.69,38.41,29.18,29.08
"109Q1",35.30,47.94,57.06,30.61,40.99,29.81,29.83
"108Q4",35.15,48.01,57.11,29.73,40.16,29.47,29.14
"108Q3",34.73,47.80,56.28,29.67,38.49,28.41,29.06
"108Q2",36.06,48.59,59.25,30.16,38.00,29.18,31.48
"108Q1",35.53,49.36,58.07,30.33,39.97,28.89,30.76
"107Q4",35.12,48.56,56.83,29.51,38.80,27.32,28.61
"107Q3",36.17,49.79,57.70,30.79,37.97,28.00,30.97
"107Q2",36.90,50.32,61.56,33.32,38.14,29.53,32.56
"107Q1",37.25,52.30,61.54,33.13,39.31,29.92,33.50
"106Q4",37.58,52.19,61.52,33.42,39.45,31.06,33.74
"106Q3",37.84,51.21,62.08,33.76,38.70,30.13,34.15
"106Q2",38.90,52.19,64.29,34.10,39.60,31.14,34.93
"106Q1",38.04,51.45,63.90,34.95,38.60,30.35,33.63
"105Q4",38.34,51.91,62.48,35.29,40.14,30.54,34.75
"105Q3",38.49,52.33,63.71,35.00,38.79,30.64,35.48
"105Q2",37.14,51.81,62.39,33.99,38.68,30.37,33.57
"105Q1",35.35,51.92,62.24,31.81,37.04,29.06,32.03
"104Q4",35.81,53.27,66.26,31.57,37.43,28.37,33.11
"104Q3",36.10,53.11,66.18,32.55,36.63,28.82,33.47
"104Q2",36.36,54.16,67.34,33.03,36.92,28.45,33.58
"104Q1",35.94,55.27,68.63,30.44,36.22,28.42,33.46
"103Q4",35.61,54.10,66.59,30.09,35.37,27.70,32.69
"103Q3",35.56,54.30,64.36,30.69,35.16,27.49,32.40
"103Q2",35.35,54.24,60.37,30.06,34.53,26.16,32.38
"103Q1",31.81,52.53,61.87,28.21,31.65,24.84,31.81
"102Q4",35.36,53.51,63.37,29.37,34.37,26.81,31.02
"102Q3",37.85,54.53,62.88,29.29,33.90,26.28,32.20
"102Q2",37.85,54.11,64.33,30.19,34.73,26.08,32.30
"102Q1",35.29,51.69,65.64,31.03,35.41,27.27,31.61
"101Q4",32.78,47.85,62.26,28.86,33.85,27.48,28.76
"101Q3",31.41,48.01,65.10,27.39,32.07,27.86,28.52
"101Q2",33.82,46.95,65.01,30.64,32.84,27.78,30.39
"101Q1",31.31,43.48,60.88,27.25,31.76,26.03,27.19
"100Q4",30.52,42.53,57.43,25.75,30.73,26.46,26.50
"100Q3",30.62,42.59,59.76,25.69,30.81,25.78,26.84
"100Q2",30.51,41.66,56.98,24.98,30.39,25.63,25.67
"100Q1",30.37,38.83,53.78,24.39,30.31,25.31,26.42
"099Q4",29.34,37.33,53.22,25.43,31.28,25.03,25.33
"099Q3",29.10,38.55,53.75,24.85,28.79,23.87,24.66
"099Q2",28.75,37.08,52.70,23.97,27.54,23.54,24.01
"099Q1",27.92,35.36,49.16,24.14,26.43,22.58,25.17
"098Q4",27.73,36.25,48.09,24.42,28.12,22.54,25.55
"098Q3",27.27,35.33,45.26,24.39,27.47,22.82,25.59
"098Q2",26.86,33.65,42.90,24.43,28.43,23.23,25.93
"098Q1",25.94,33.47,40.83,24.06,29.22,23.83,24.77
"097Q4",26.72,33.64,39.99,23.72,27.33,23.95,23.31
"097Q3",28.00,35.93,39.79,25.23,28.64,24.60,25.53
"097Q2",28.59,35.53,38.87,27.13,28.76,24.72,26.88
"097Q1",27.94,35.15,37.94,27.26,28.01,24.82,25.72
"096Q4",25.62,34.52,36.80,26.80,28.20,24.66,26.12
"096Q3",23.99,34.79,36.94,27.58,29.13,25.22,27.29
"096Q2",24.08,33.97,35.91,27.51,26.60,24.93,28.01
"096Q1",22.49,33.58,35.37,27.34,25.20,25.03,26.55
"095Q4",21.64,34.12,35.92,28.30,23.59,26.64,29.07
"095Q3",23.06,33.88,35.51,28.53,24.37,26.73,30.70
"095Q2",22.48,33.62,35.13,28.73,24.15,26.84,29.54
"095Q1",22.66,33.55,34.94,28.29,23.72,27.06,30.60
"094Q4",21.70,33.54,31.02,28.06,23.03,27.32,28.17
"094Q3",22.93,32.19,28.71,27.71,24.29,27.47,28.76
"094Q2",22.91,31.64,28.53,27.39,23.41,27.48,27.67
"094Q1",21.93,32.14,27.22,26.13,24.02,27.07,26.75
"093Q4",21.33,32.06,27.42,26.32,23.62,27.34,28.17
"093Q3",20.34,31.16,27.22,26.08,21.72,26.80,27.47
"093Q2",20.73,30.16,27.24,25.79,21.05,26.44,26.93
"093Q1",20.99,29.46,27.40,25.63,21.44,26.19,25.75
"092Q4",21.34,30.74,29.73,26.52,22.60,27.10,25.73
"092Q3",20.61,30.05,28.60,26.34,21.84,26.07,24.65
"092Q2",20.88,30.72,30.14,26.95,22.99,25.52,24.31
"092Q1",21.39,31.38,29.88,26.26,23.76,25.88,24.92
"091Q4",22.34,31.35,30.90,27.16,25.45,26.99,26.53
"091Q3",21.92,31.72,32.50,28.27,26.52,27.79,24.77
"091Q2",23.94,33.71,32.18,31.89,26.11,29.83,25.81
"091Q1",23.93,34.04,32.45,30.00,26.46,30.53,27.87
